SUMLEV,REGION,DIVISION,STATE,NAME,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,NPOPCHG_2017,NPOPCHG_2018,NPOPCHG_2019,NPOPCHG_2020,NPOPCHG_2021,6/30/2014,6/30/2015,6/30/2016,6/30/2017,6/30/2018,6/30/2019,6/30/2020,6/30/2021,region_npopchg_2014,region_npopchg_2015,region_npopchg_2016,region_npopchg_2017,region_npopchg_2018,region_npopchg_2019,region_npopchg_2020,region_npopchg_2021
40,3,5,37,North Carolina,90578,99923,124584,113956,115600,110026,99439,93985,160825,165305,172014,182515,194383,206286,217348,251823,1269035,1382975,1370324,1191489,1038120,1037388,976210,816322
40,2,4,38,North Dakota,15587,16801,577,641,3307,3662,1585,-4014,207495,223423,229169,230791,232110,233572,237951,250762,189052,120106,132493,142167,102677,77072,-23347,-93730
40,2,3,39,Ohio,26881,15742,17745,25646,15186,15615,-3290,-10570,116869,121336,126450,134125,143290,151587,160085,184133,189052,120106,132493,142167,102677,77072,-23347,-93730
40,3,7,40,Oklahoma,25296,31331,17625,5459,9886,17188,20107,24608,111403,115846,118603,122641,126424,130759,138133,153865,1269035,1382975,1370324,1191489,1038120,1037388,976210,816322
40,4,9,41,Oregon,41337,53095,74729,54023,36244,32578,25391,4611,256745,275834,306619,334913,356843,369532,385150,452854,759731,818133,818957,697111,574114,458903,354372,35868
40,1,2,42,Pennsylvania,12854,-2554,-1370,6211,14428,-10224,-15629,-25569,166069,168713,172322,178925,189144,196804,204663,235831,108564,31451,10987,19606,1160,-81609,-153065,-365795
40,1,1,44,Rhode Island,951,375,930,-1262,2784,-1180,-1033,-619,245280,246597,259174,275799,294281,302374,316416,372795,108564,31451,10987,19606,1160,-81609,-153065,-365795
40,3,5,45,South Carolina,60389,69148,67025,64071,64600,66000,60338,59976,155056,160551,167194,175811,186073,195159,203713,230389,1269035,1382975,1370324,1191489,1038120,1037388,976210,816322
40,2,4,46,South Dakota,6919,4993,9030,10039,5654,7741,5590,8277,167163,174201,182947,193673,202662,212994,220411,249395,189052,120106,132493,142167,102677,77072,-23347,-93730
40,3,6,47,Tennessee,47674,50737,55923,63471,63432,52145,56509,55099,143565,148805,157202,168658,181380,192636,205358,235811,1269035,1382975,1370324,1191489,1038120,1037388,976210,816322
40,3,7,48,Texas,483446,505439,445533,376960,333540,362230,373965,310288,156653,169100,180632,192619,203991,213760,220501,252927,1269035,1382975,1370324,1191489,1038120,1037388,976210,816322
40,4,8,49,Utah,39554,45299,60615,59299,51613,48230,46496,56291,241529,252594,273277,297972,326458,352429,374968,465502,759731,818133,818957,697111,574114,458903,354372,35868
40,1,1,50,Vermont,-910,117,-1444,766,-330,-756,-699,3075,228010,230457,231959,237825,248976,257251,265559,298371,108564,31451,10987,19606,1160,-81609,-153065,-365795
40,3,5,51,Virginia,59569,51873,50348,53360,39909,45722,33921,10230,249430,252049,256082,265105,274537,284992,295945,333211,1269035,1382975,1370324,1191489,1038120,1037388,976210,816322
40,4,9,53,Washington,91279,109756,132674,127990,98842,87231,79588,19907,265549,285207,315473,350722,389936,403447,432331,517969,759731,818133,818957,697111,574114,458903,354372,35868
40,3,5,54,West Virginia,-4199,-7237,-10897,-13752,-12730,-10690,-10476,-6839,95361,97883,100389,101962,106096,109454,111887,120739,1269035,1382975,1370324,1191489,1038120,1037388,976210,816322
40,2,3,55,Wisconsin,15187,9728,12243,17977,16172,15262,8074,3585,151974,155871,161975,173057,185307,195223,205220,234170,189052,120106,132493,142167,102677,77072,-23347,-93730
40,4,8,56,Wyoming,539,3230,-1146,-5249,-940,1062,2212,1536,216461,224713,230331,230508,239399,250664,261371,280288,759731,818133,818957,697111,574114,458903,354372,35868
40,X,X,72,Puerto Rico,-58203,-61642,-66560,-81388,-131940,209,-34210,-17954,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
